,cid,peak_ra,peak_decl,nepoch,official_name,type_dr,smp_peakmag_r,smp_mjd_peakmag_r,smp_nepoch_snr5_r,n_SNspec,n_GALspec,z_best_with_BOSS_HELIO,z_best_err_with_BOSS_HELIO,z_best_with_BOSS_CMB,z_best_err_with_BOSS_CMB,x0,x0err,x1,x1err,c,cerr,pkmjd,pkmjderr,mu,muerr,fitprob,chi2,ndof,delta,deltaerr,av,averr,pkmjd.1,pkmjderr.1,mu.1,muerr.1,fitprob.1,chi2.1,ndof.1,pz_ia,ztp1A_logprob,ztp1A_lc_quality,pz_ibc,ztp1BC_logprob,ztp1BC_lc_quality,pz_ii,ztp2_logprob,ztp2_lc_quality,Nnnz,Pnnz_Ia,Pnnz_Ibc,Pnnz_II,ztp1a_z_moment1,ztp1a_z_moment2),ztp1a_dm_moment1,ztp1a_dm_moment2),ztp1a_av_moment1,ztp1a_av_moment2),ztp1a_tmax_moment1,ztp1a_tmax_moment2),ztp1bc_dm15,ztp2_dm15,x0.1,x0err.1,x1.1,x1err.1,c.1,cerr.1,pkmjd.2,pkmjderr.2,zphot,zphoterr,fitprob.2,chi2.2,ndof.2,p_ia,tp1A_logprob,tp1A_lc_quality,p_ibc,tp1BC_logprob,tp1BC_lc_quality,p_ii,tp2_logprob,tp2_lc_quality,Nnn,Pnn_Ia,Pnn_Ibc,Pnn_II,tp1a_z_moment1,tp1a_z_moment2),tp1a_dm_moment1,tp1a_dm_moment2),tp1a_av_moment1,tp1a_av_moment2),tp1a_tmax_moment1,tp1a_tmax_moment2),tp1bc_dm15,tp2_dm15,host_objid_dr8,ra,decl,host_sep_DR8,host_DLR_DR8,z,zErr,z.1,zErr.1,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,logMass_Ravi,logMass_lo_Ravi,logMass_hi_Ravi,logSSFR_Ravi,logSSFR_lo_Ravi,logSSFR_hi_Ravi,age_Ravi,age_lo_Ravi,age_hi_Ravi,minredchi2_Ravi,logMass_Mat,logMass_lo_Mat,logMass_hi_Mat,logSFR_Mat,logSFR_lo_Mat,logSFR_hi_Mat,age_Mat,minchi2_Mat,dr_notes,is_snia,is_snii,is_snib,is_uk
1680,3811,13.704592000000002,0.42961800000000006,2,\N,zSNIa,22.053,53640.3,2,0,0,0.419444,0.000131,0.41787299999999994,0.000131,2.5626e-05,2.62e-06,-0.9297,1.2939,-0.1314,0.1024,53633.2,1.28,41.6806,0.3368,0.586,49.2,52,-0.0596,0.2845,0.235,0.3253,53633.5,1.56,41.6952,0.4102,0.788,55.7,65,0.9977,-0.05400,59,0.0023,-0.17590,59,0.0000,-0.50450,59,\N,\N,\N,\N,0.34403,0.0641092824500595,1.26700,0.24799193877772,0.71700,0.383001300419873,53632.141,1.40000001362392,3.00,1.00,2.5496e-05,3.33e-06,-0.7249,1.3712,0.1033,0.1675,53632.8,1.43,0.3347,0.0637,0.592,34.4,37,0.9630,-0.03430,59,0.0370,-0.04380,63,0.0000,-0.50580,59,390,0.7821,0.2026,0.0154,0.34326,0.0604152305801625,1.28500,0.246008131483061,0.55600,0.373001335520054,53632.102,1.37003648646698,307.00,301.00,1237663784740258496,13.7045478821,0.4295915961,0.23380,0.23080,0.320059,0.028959,0.325999,0.0510171,24.0488,1.08836,21.7933,0.109077,20.1629,0.0386368,19.5804,0.0355707,19.1181,0.0742712,11.1490,11.0076,11.3227,-12.3467,-26.1533,-10.6095,4.2298,2.4534,6.7653,0.2169,10.9210,10.9060,10.9360,-99.0000,-99.0000,-99.0000,3.5000,2.4300,\N,1,0,0,0
1685,3818,13.969504,0.5049319999999999,14,2005gi,SNII,19.827,53640.3,13,1,1,0.050533999999999996,2.5e-05,0.049373,2.5e-05,0.00033283,1.3e-05,5,0.0475,0.0252,0.0384,53650.3,0.16,39.5391,0.2022,2.29e-26,196.4,30,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.0000,-132.80130,31,0.0000,-97.35560,63,1.0000,-0.02500,63,164,0.0000,0.0000,1.0000,0.05166,0.00316227762022545,0.60000,0,0.77900,0.0840238073838311,53649.699,0.18973665552623,306.00,305.00,0.00034449,1.64e-05,5,0.0857,0.0668,0.0437,53649.3,0.11,0,0.0016,1.99e-24,183.8,29,0.0000,-131.59010,63,0.0000,-81.93930,63,1.0000,-0.00480,63,249,0.0000,0.0000,1.0000,0.06088,0.00316227762022545,0.60000,0,0.73200,0.0740270208633835,53649.789,0.209761769065722,306.00,305.00,1237663784740389490,13.9682111740,0.5061479211,6.33331,1.85768,0.039723,0.011852,0.047358,0.0220807,19.7972,0.0978725,18.6872,0.0271711,18.3986,0.0246156,18.2241,0.0407166,18.0633,0.0835922,9.0295,8.9819,9.0801,-10.1881,-10.2535,-10.1338,3.9693,3.4366,4.7249,0.4738,8.8550,8.8460,8.8640,-0.6120,-0.6200,-0.6030,0.9000,1.8400,\N,0,1,0,0
1687,3822,15.066788,0.415335,15,\N,Variable,22.076,53622.4,5,0,0,0.30119,2.7000000000000002e-05,0.299767,2.7000000000000002e-05,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,-0.5917,0.0947,0.6034,0.1572,53686.2,0.14,41.7001,0.2252,4.67e-07,152.5,76,0.9999,-3.99570,60,0.0000,-5.94690,60,0.0000,-6.47370,63,\N,\N,\N,\N,0.26015,0.0566568618554375,0.62400,0.0340587725152838,0.58700,0.42300118140581,53689.871,1.58996858973637,2.00,2.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.0000,-3.87610,60,0.0000,-4.42140,62,1.0000,-1.65760,63,-1,-1.0000,-1.0000,-1.0000,0.67408,0.0752994015094256,0.62200,0.0299999997423341,1.00000,0.904002197237636,53695.270,1.71988370091902,304.00,302.00,1237666339725181522,15.0667972565,0.4153288603,0.22697,0.28459,\N,\N,\N,\N,23.1674,0.503974,22.1974,0.0838149,21.9665,0.0973658,21.7889,0.116964,21.3828,0.333526,9.1160,9.0405,9.2286,-9.9493,-9.9986,-9.9262,1.8290,1.7674,2.4345,1.7427,8.7990,8.3980,9.1170,0.3950,-0.2850,0.5090,0.4000,4.3100,\N,0,0,0,0
1688,3825,17.470449,0.605353,2,\N,zSNIa,21.773000000000003,53640.3,2,0,0,0.313434,2.4e-05,0.312029,2.4e-05,3.4568e-05,3.6e-06,-0.7718,1.0485,0.0133,0.0773,53644.7,1.04,40.9609,0.3524,0.89,43.4,56,0.1106,0.2841,0.2818,0.268,53644.4,1.14,41.1016,0.3266,0.913,45.8,60,0.9932,-0.14090,63,0.0068,-0.28740,63,0.0000,-0.84770,31,\N,\N,\N,\N,0.30462,0.0724568832425152,1.27400,0.174985711970494,0.51600,0.498998995964363,53644.270,1.26015874362233,3.00,1.00,3.0879e-05,4.65e-06,-1.0397,1.4449,0.2032,0.2017,53643.7,1.72,0.2096,0.1004,0.488,33.6,34,0.9911,-0.12670,63,0.0085,-0.21250,63,0.0004,-0.42950,62,791,0.9709,0.0202,0.0088,0.27656,0.0801249024374587,1.26500,0.171988373990725,0.49600,0.570000001129351,53643.969,1.30996181658068,306.00,301.00,1237663784741896549,17.4705352783,0.6052920222,0.39327,0.41975,0.252169,0.037155,0.20459,0.0675022,21.772,0.199348,20.4901,0.034318,19.3949,0.0195887,18.9182,0.0193421,18.5199,0.0415767,11.0438,10.9677,11.1145,-10.1475,-10.3505,-9.9846,3.8968,2.2668,5.7581,0.8819,10.8690,10.6380,10.9250,0.5570,-0.1570,0.7210,4.5000,14.2100,\N,1,0,0,0
1690,3827,18.763597,0.57126,10,\N,Variable,21.711,53679.3,8,0,0,1.05168,0.000554,1.049513,0.000554,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.0000,-50.74230,60,0.0000,-106.29160,62,1.0000,-43.11410,60,\N,\N,\N,\N,0.29575,0.0161245155185452,0.60000,0.0063245552404509,0.53300,0.117983048879804,53688.129,0.860232532247382,2.00,1.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.0000,-16.40780,60,0.0000,-12.63450,51,1.0000,-6.06600,59,534,0.0000,0.0000,1.0000,0.22096,0.0216794833665551,0.60300,0.0089442717970235,-0.29700,0.16798809405874,53686.770,0.76026311830833,307.00,305.00,1237663784742486452,18.7636184692,0.5712257624,0.17424,0.31689,0.292395,0.097346,0.211532,0.120321,20.9757,0.0785064,20.9085,0.0326344,20.6408,0.0333042,20.6971,0.0497883,20.7354,0.167071,9.4476,-99.0000,-99.0000,-9.3388,-9.5838,-7.5240,-0.1108,-0.5905,-0.1030,8.0005,10.1820,9.6440,10.5400,1.9000,1.3160,2.2370,0.2500,19.8300,\N,0,0,0,0
1700,3849,-9.503942,0.12749000000000002,2,\N,Variable,22.43,53638.3,0,0,0,0.183685,4.5e-05,0.18223399999999998,4.5e-05,1.975e-05,2.95e-06,2.7505,1.8629,-0.1139,0.1279,53636.8,1.61,42.5784,0.6099,0.322,62.4,58,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.7961,-0.50860,59,0.1319,-0.55750,63,0.0721,-0.57350,59,\N,\N,\N,\N,0.21922,0.0661059771381123,0.71200,0.121983604153621,0.01500,0.507996071133852,53637.941,2.14988376835534,3.00,1.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.3111,-0.49490,59,0.6639,-0.31970,43,0.0250,-0.56700,59,53,0.0189,0.0566,0.9245,0.23801,0.0762233560162775,0.71200,0.119999998969336,-0.02900,0.534003750073556,53638.781,2.44008196505472,304.00,301.00,1237663784193228981,350.4960632324,0.1274659485,0.27904,0.20004,0.179509,0.029122,0.15905,0.0440661,20.2331,0.0879302,19.2614,0.016958,18.5705,0.0141514,18.1519,0.0138775,17.9558,0.0437631,10.5402,10.4809,10.6200,-10.3805,-10.5390,-10.1634,5.1930,3.7020,6.8466,1.4222,10.7250,10.3970,10.8080,1.0160,0.6610,1.0310,11.0000,15.8300,\N,0,0,0,0
1701,3850,-8.449809,0.05646,3,\N,AGN,22.136999999999997,53622.3,1,0,0,0.346629,4.7e-05,0.34498,4.7e-05,2.6321e-05,1.85e-06,5,0.3744,-0.2246,0.0631,53638.9,1.02,42.9976,0.2755,6.42e-06,125.8,64,-0.907,0.1004,-0.4707,0.1924,53635.2,1.3,43.1317,0.327,3.23e-07,148.3,72,0.0001,-4.36250,63,0.9999,-2.39250,19,0.0000,-5.94310,31,\N,\N,\N,\N,0.29880,0.0311448229034238,0.60200,0.0089442717970235,-0.76000,0.196010201729972,53642.430,1.4501723778963,4.00,4.00,3.8909e-05,3.65e-06,5,0.2738,-0.0958,0.1003,53634.3,0.02,0,0.0109,1.73e-09,107.1,34,0.0005,-4.09690,63,0.4442,-2.48150,19,0.5553,-2.54670,3,127,0.0000,0.0000,1.0000,0.30090,0.0327108544436763,0.60200,0.0089442717970235,-0.83900,0.190997377939975,53642.391,1.5700318194767,307.00,302.00,1237663784193687930,351.5501708984,0.0564285330,0.23872,0.17357,0.391507,0.068285,0.312405,0.105838,21.0597,0.145794,20.4511,0.0375082,19.2736,0.0213123,18.8486,0.0206713,18.4783,0.0584286,11.0825,10.9993,11.1681,-10.3040,-10.7368,-10.0346,4.7009,2.7218,6.2824,0.5862,10.9490,10.8180,11.0080,0.8860,0.5920,0.8940,3.5000,2.0500,\N,0,0,0,0
1703,3852,-7.66937,0.066577,2,\N,Unknown,21.853,53640.3,3,0,0,0.348385,0.00013700000000000002,0.346735,0.00013700000000000002,3.4268e-05,6.66e-06,1.697,1.726,0.1745,0.1023,53648,0.91,40.9456,0.4159,0.997,39.1,67,-0.2409,0.1859,0.7301,0.2143,53646.8,0.9,40.6709,0.2794,0.998,40.2,70,0.9611,0.00000,31,0.0196,-0.00040,63,0.0193,-0.00090,63,\N,\N,\N,\N,0.28871,0.0609097699656017,1.03100,0.17300288801663,1.49200,0.487001022487601,53646.641,0.960208306014947,1.00,1.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.9359,0.00000,31,0.0551,-0.00040,63,0.0090,-0.00040,63,-1,-1.0000,-1.0000,-1.0000,0.27879,0.0591607987440452,1.04400,0.17300288801663,1.48700,0.469999999086908,53646.570,0.949736810918467,306.00,301.00,1237663784194015923,352.3303833008,0.0665642619,0.92865,0.76276,0.316624,0.022792,0.342621,0.0541265,25.467,0.797234,21.9663,0.128172,20.2668,0.0419005,19.7491,0.0381133,19.3488,0.108203,10.9446,10.8129,11.0666,-20.0453,-37.4171,-13.7308,5.4234,3.4249,7.4234,1.2125,10.6230,10.6010,10.9410,-99.0000,-99.0000,-99.0000,3.5000,3.9400,\N,0,0,0,1
1707,3858,-6.204744,0.052234,7,\N,zSNII,21.006,53622.3,6,0,0,0.147557,1e-05,0.146156,1e-05,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.0000,-1.18110,51,0.0000,-3.10130,51,0.0000,-3.37160,3,49,0.0204,0.0408,0.9388,0.17294,0.0284604989015929,0.61000,0.0161245155185452,1.83100,0.465005381717098,53614.449,4.47001128636926,306.00,302.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.9984,-1.11980,51,0.0016,-1.93550,3,0.0000,-3.37160,3,21,0.0952,0.0952,0.8095,0.17505,0.0248997993197808,0.60900,0.0148323970321149,1.97600,0.374005349620767,53615.301,3.28998485689244,304.00,302.00,1237663784194670897,353.7952270508,0.0521846898,0.15118,0.20793,0.166,0.026413,0.126676,0.0692763,19.8858,0.0447894,19.4848,0.0140935,19.289,0.0160018,19.1367,0.0180241,19.229,0.0708502,10.5398,-99.0000,10.6000,-10.0515,-99.0000,-99.0000,2.6649,-99.0000,-99.0000,10.5346,9.2060,9.1000,9.3430,0.8020,0.1450,0.8270,0.4000,16.0600,\N,0,1,0,0
1709,3868,-0.8746280000000001,0.100165,2,\N,zSNII,22.13,53638.3,1,0,0,0.19607,3.1e-05,0.19463,3.1e-05,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,-0.5724,0.0956,1.6802,0.336,53647.9,0.02,40.2672,0.3666,0.00747,93.6,63,0.0000,-0.83560,63,0.0000,-1.09210,63,1.0000,-0.11860,63,\N,\N,\N,\N,0.20717,0.137840485304762,0.63300,0.0460434585735209,2.20200,1.14199824820082,53650.230,1.81989011652891,3.00,2.00,1.4641e-05,4.12e-06,3.0681,1.4259,0.6628,0.2236,53647.8,2.36,0.1543,0.1067,0.15,43.6,35,0.0000,-0.82390,31,0.0000,-0.74710,63,0.9999,-0.11350,31,83,0.0000,0.0000,1.0000,0.07851,0.0202484569247245,0.64800,0.0679705803175281,2.88200,0.351994312852737,53648.102,1.8000000026491,304.00,302.00,1237663784197030071,359.1255798340,0.1000438109,0.78501,0.87105,0.207903,0.012729,0.202711,0.0576364,21.5464,0.169399,19.5386,0.0167628,18.2582,0.00931659,17.7967,0.00842917,17.4886,0.0204701,11.0782,10.9953,11.1513,-16.7449,-43.8017,-13.0241,7.8934,5.4042,10.3936,0.4316,10.8490,10.7800,10.9010,-99.0000,-99.0000,-99.0000,4.0000,6.8900,\N,0,1,0,0
1710,3869,-8.873175,-1.07974,2,\N,Variable,21.62,53636.3,1,0,0,0.10823599999999998,2.8999999999999997e-05,0.10688199999999999,2.8999999999999997e-05,9.9129e-06,2.02e-06,5,0.4152,0.4937,0.2012,53682.5,2.08,41.9972,0.4897,1.76e-08,105.3,37,-0.5001,0.1003,0.7694,0.4071,53677.7,1.91,42.1375,0.515,1.99e-10,152.5,58,0.2781,-14.74710,62,0.0189,-15.38400,62,0.7029,-14.21470,31,2,0.0000,0.0000,1.0000,0.50627,0.092682251538558,0.71600,0.137003649462433,-0.81100,1.03899951256308,53684.449,3.56005614932924,303.00,302.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.4138,-13.25490,60,0.5611,-12.65760,60,0.0251,-13.49080,63,4,0.5000,0.0000,0.5000,0.54556,0.0843800936150433,0.68500,0.104019231070181,-0.82900,0.154012986268052,53690.090,4.27995336346753,304.00,302.00,1237663275776409700,351.1269836426,-1.0797034502,0.46349,0.47176,0.118859,0.011321,0.119551,0.018378,20.2745,0.0810039,18.42,0.00993599,17.4175,0.00633131,16.9979,0.00625096,16.6253,0.0132841,10.8100,10.7356,10.8703,-15.0008,-39.4238,-11.9622,7.8854,5.8736,9.5882,0.1346,10.8690,10.6600,10.9120,-99.0000,-99.0000,-99.0000,11.0000,12.2900,\N,0,0,0,0
1711,3871,-8.850112,-1.070876,7,\N,zSNII,21.429000000000002,53655.2,11,0,0,0.5371520000000001,4.9e-05,0.535274,4.9e-05,3.1845e-05,1.68e-06,5,0.1312,-0.3347,0.0377,53658.2,0.09,43.1129,0.2167,8.58e-33,297.3,61,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.0000,-42.79860,60,0.0000,-70.17590,62,1.0000,-31.77210,60,\N,\N,\N,\N,0.28235,0.0199999997473788,0.60000,0.00316227762022545,0.11300,0.141985917510449,53679.738,1.40996455107423,2.00,1.00,6.6833e-05,3.88e-06,-1.6874,0.1956,-0.6572,0.0266,53651.3,0.34,0.4518,0.0033,5.61e-24,251.1,64,0.0000,-15.18710,62,1.0000,-2.84160,51,0.0000,-5.64020,63,37,0.0000,0.0541,0.9459,0.21654,0.022135943752446,0.60000,0.0063245552404509,-0.52400,0.176011364043329,53675.672,1.51986839653292,307.00,305.00,1237663275776409963,351.1499023438,-1.0709047318,0.04980,0.06680,0.657881,0.127639,0.513371,0.203969,21.9955,0.210617,21.6933,0.0788438,20.9189,0.0520214,20.1124,0.0383819,19.7977,0.105896,11.0071,10.8757,11.1111,-10.6562,-10.6689,-10.4450,4.7216,4.0601,5.9919,0.6889,10.9380,10.5670,11.0620,0.8750,0.5660,1.0600,3.5000,4.8200,\N,0,1,0,0
1712,3872,0.066095,0.107878,2,\N,Unknown,22.177,53685.2,0,0,0,0.416837,7.099999999999999e-05,0.415137,7.099999999999999e-05,2.5047e-05,3.52e-06,-2.0481,0.4431,-0.6795,0.0502,53649.4,0.64,43.1065,0.3362,0.233,68.7,61,-0.5731,0.0986,-1.2769,0.3006,53648.4,1.39,44.5827,0.4858,0.079,81.7,65,0.0001,-1.09690,31,0.9967,-0.20410,51,0.0032,-0.67370,63,\N,\N,\N,\N,0.22305,0.0672309449478049,0.64500,0.0579655067546806,-0.03700,0.544003687248286,53645.469,1.90997382230944,4.00,1.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.0036,-0.55130,63,0.0786,-0.20480,51,0.9178,-0.15740,63,621,0.0000,0.0016,0.9984,0.21972,0.0629285299797323,0.64500,0.0570087718430701,-0.09100,0.49700099859003,53645.180,1.84986484136962,307.00,305.00,1237663784197423635,0.0661185309,0.1078629866,0.09511,0.27917,\N,\N,\N,\N,23.7739,0.565946,23.5718,0.240127,22.8638,0.193584,22.0399,0.130208,21.4419,0.290669,9.8713,9.6086,10.1625,-10.3424,-10.8657,-10.0537,4.6275,2.5621,6.3499,0.8147,9.9390,9.3910,10.1120,-0.3730,-1.1370,0.3430,4.5000,2.8600,\N,0,0,0,1
1713,3874,0.744109,0.142216,2,\N,Variable,22.065,53655.3,0,0,0,0.089705,9e-06,0.088401,9e-06,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.6197,-16.95080,4,0.1823,-16.95080,4,0.1980,-16.95080,4,-1,-1.0000,-1.0000,-1.0000,0.18816,0.197838320199524,1.37000,0.337994080069153,0.16900,0.847997640606459,53729.051,2.57001945889005,303.00,301.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.4484,-16.95080,4,0.3107,-16.95080,12,0.2409,-16.95080,4,-1,-1.0000,-1.0000,-1.0000,0.37921,0.237507894033446,1.17700,0.387994837903557,3.00000,0,53746.531,6.19999988925072,303.00,302.00,1237663784197685304,0.7441148162,0.1420306563,0.53889,0.40138,0.103756,0.022478,0.0964006,0.0186189,18.2806,0.0208965,17.1609,0.00484391,16.5766,0.00434194,16.1807,0.00425608,15.9761,0.00879095,10.6945,10.6489,10.7449,-10.5528,-10.6988,-10.3541,7.4145,6.1276,8.2843,2.2265,10.8370,10.3570,10.9240,1.1280,0.2760,1.1530,11.0000,356.1000,\N,0,0,0,0
1715,3877,2.561914,0.13917000000000002,11,\N,Variable,20.136,53685.2,11,0,0,0.102197,1.9e-05,0.100888,1.9e-05,0.00022222,5.69e-06,5,0.5441,-0.3758,0.0141,53691.1,0.01,41.1392,0.2103,0,537.6,29,-1,0.3,0.1572,0.0772,53687.1,0.21,39.8301,0.0957,0,502.6,42,1.0000,-121.18910,60,0.0000,-161.22330,60,0.0000,-142.15610,28,-1,-1.0000,-1.0000,-1.0000,0.07508,0.00447213589851175,0.60300,0.0063245552404509,0.05400,0.0970051565959545,53692.738,0.109544511977133,304.00,301.00,0.00016158,5.55e-06,3.8742,0.2109,0.3039,0.0401,53691.9,0.19,0.2259,0.05,1.06e-10,87.1,19,1.0000,-115.45590,60,0.0000,-133.20830,62,0.0000,-135.93179,28,-1,-1.0000,-1.0000,-1.0000,0.07202,0.00316227762022545,0.60300,0.00707106772255038,0.04500,0.0979795920382175,53692.680,0.109544511977133,304.00,301.00,1237663784198537311,2.5619564056,0.1391014308,0.29735,0.21451,0.07759,0.023124,0.08957,0.0248817,19.2255,0.0389662,17.7225,0.00635746,16.9907,0.00530217,16.586,0.00510695,16.3009,0.0115634,10.8378,10.7729,10.8770,-10.2580,-10.5317,-10.1277,4.4824,3.3312,6.3371,0.0318,10.6460,10.4950,10.9270,0.3350,-0.3730,0.9310,4.5000,221.6000,\N,0,0,0,0
1716,3878,3.1010310000000003,0.205052,2,\N,Variable,22.415,53704.2,0,0,0,0.583216,7.8e-05,0.58134,7.8e-05,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.2578,-1.03530,44,0.2253,-0.98720,44,0.5169,-0.98720,12,\N,\N,\N,\N,0.30064,0.0366060098736914,0.65100,0.058991524439902,0.13400,0.263001897652746,53697.660,1.7401149721637,2.00,3.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.4747,-0.20550,60,0.5253,-0.18110,44,0.0000,-0.91720,12,17,0.0000,0.0588,0.9412,0.29105,0.0487852432781063,0.66000,0.065038450770895,-0.24300,0.334005990918333,53696.121,2,304.00,305.00,1237663784198734556,3.1010324955,0.2050152272,0.26959,0.35192,0.64003,0.139026,0.484413,0.253756,22.2895,0.299593,21.438,0.0636456,20.5395,0.0461905,19.7358,0.0329357,19.2679,0.0825641,11.3346,11.2076,11.4216,-10.3188,-10.6083,-10.0863,4.4438,3.2122,5.3680,0.6594,11.2910,11.0450,11.3500,0.9790,0.2720,1.1210,4.5000,3.1000,\N,0,0,0,0
1717,3881,-8.118306,-0.44174399999999997,4,\N,zSNIa,21.48,53637.3,3,0,3,0.327784,1.4000000000000001e-05,0.32616,1.4000000000000001e-05,3.8769e-05,2.59e-06,-0.5747,0.6432,-0.1052,0.0602,53636.5,0.69,41.2187,0.2504,0.944,47.1,64,-0.0486,0.1971,0.1028,0.2,53636.2,0.66,41.4076,0.2121,0.992,50.3,77,0.9997,-0.00220,59,0.0003,-0.04100,63,0.0000,-1.16180,63,\N,\N,\N,\N,0.29727,0.029495762219951,1.17200,0.127984377404037,0.16500,0.221990988528618,53635.480,0.770064928921446,3.00,1.00,3.7195e-05,2.92e-06,-0.5026,0.6803,-0.0273,0.1139,53636.1,0.85,0.2772,0.0546,0.777,38.5,46,1.0000,-0.00220,59,0.0000,-0.08570,63,0.0000,-0.91010,63,1194,0.9849,0.0059,0.0092,0.29386,0.0327108544436763,1.18200,0.129999997042693,0.10900,0.244008196200131,53635.391,0.76026311830833,306.00,301.00,1237666407365148885,351.8815307617,-0.4430696666,4.70537,2.77156,0.232566,0.038117,0.191675,0.0756477,20.4837,0.162165,19.226,0.0206984,18.1418,0.0121177,17.7076,0.0114595,17.3452,0.0267648,11.4805,11.4186,11.5464,-10.1920,-10.5409,-9.9763,4.0720,2.2277,6.0894,1.0573,11.3380,11.0990,11.6160,1.2750,0.9740,1.5260,3.5000,25.4100,\N,1,0,0,0
1718,3882,5.116229,0.18226199999999998,9,\N,Variable,21.651,53697.2,10,0,0,0.21435,2.4e-05,0.212925,2.4e-05,3.1731e-05,1.79e-06,5,0.2076,0.3038,0.0602,53684.5,0.58,41.2487,0.2273,4.18e-07,94.2,36,-1,0.3,1.1378,0.124,53675.2,0.01,40.7671,0.1575,7.77e-13,140.6,41,1.0000,-2.22110,60,0.0000,-15.15300,62,0.0000,-6.55280,62,\N,\N,\N,\N,0.23416,0.0438178040469479,0.61000,0.0170293862576419,0.90000,0.364005484639233,53689.039,1.07004671903918,2.00,2.00,3.1171e-05,1.71e-06,5,0.2059,0.2739,0.0621,53684.7,0.66,0.2456,0.0041,9.07e-07,75.8,26,0.0011,-2.32610,60,0.0000,-9.15610,62,0.9989,-1.13730,63,178,0.0000,0.0056,0.9944,0.17328,0.0353553386642007,0.61000,0.0148323970321149,1.16600,0.387994837903557,53688.410,0.970051537157285,304.00,302.00,1237663784199651772,5.1162638664,0.1822355241,0.33656,0.38703,0.211254,0.035971,0.216697,0.101756,21.0315,0.109127,20.1438,0.0238119,19.32,0.0174592,18.8701,0.0164123,18.7045,0.049758,10.4774,10.4056,10.5405,-10.4909,-10.7773,-10.2227,5.7711,4.0997,7.0649,1.1924,10.6050,10.1530,10.7160,0.6260,0.0780,0.8370,9.0000,10.3900,\N,0,0,0,0
1719,3887,10.943247,0.074282,3,\N,zSNIa,21.643,53622.4,2,0,0,0.298629,4.2e-05,0.297161,4.2e-05,3.4395e-05,3.02e-06,-2.7051,1.1194,0.0284,0.0933,53624.8,1.69,40.5722,0.3716,0.354,50,47,0.4714,0.4281,-0.0422,0.4876,53622.6,2.27,41.13,0.3415,0.191,67.2,58,0.9996,-0.30360,51,0.0004,-0.79050,59,0.0000,-2.65960,3,\N,\N,\N,\N,0.32719,0.075498344989228,1.47800,0.195012816350306,0.19500,0.513000978450325,53622.949,1.9700253911972,4.00,4.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.9937,-0.28320,51,0.0013,-0.56860,59,0.0050,-0.46220,1,232,0.9181,0.0647,0.0172,0.34406,0.0719722159021538,1.45800,0.211990562377909,-0.04900,0.448998886704923,53622.910,2.24008931203312,307.00,302.00,1237663784202207497,10.9435291290,0.0742802322,1.11193,1.79389,0.270784,0.045516,0.216759,0.0589093,23.0063,0.467962,20.7783,0.0354448,19.5058,0.018782,18.988,0.0167399,18.8023,0.0512692,10.8575,10.7520,10.9151,-15.8578,-39.3659,-12.1462,6.8721,4.2721,8.8721,0.8593,10.8210,10.6110,10.9140,-0.1230,-99.0000,0.4860,5.0000,44.6200,\N,1,0,0,0
